NUMBER	LEXEME
1	alcoholic drink // &lt;alcoholic drink&gt;
2	animal // &lt;animal&gt;
3	artiodactyl (even-toed animal) // &lt;artiodactyl (even-toed animal)&gt;
4	abdomen // belly
20	acid // sour // tart (taste)
26	activity // to work
29	Adam's apple // Adam&#39;s apple
47	air // air, atmosphere
56	alive // to live, be alive
57	All Saints' Day // All Saints&#39; Day
102	appearance; look // look (n.)
136	attack (n.) // to attack
142	aunt (father's brother's wife) // aunt (father&#39;s brother&#39;s wife)
143	aunt (father's sister) // aunt (father&#39;s sister)
144	aunt (mother's brother's wife) // aunt (mother&#39;s brother&#39;s wife)
145	aunt (mother's sister) // aunt (mother&#39;s sister)
151	awake // to be awake
159	berry // &lt;berry&gt;
160	beverage, drink // &lt;beverage, drink&gt;
161	bird // &lt;bird&gt;
162	blood-sucking insect // &lt;blood-sucking insect&gt;
163	body part // &lt;body part&gt;
164	building // &lt;building&gt;
172	backbone // spine, backbone
178	bad luck // misfortune
183	bad-smelling, stinking // to smell bad
206	basin (vessel) // sink (basin for holding water for washing)
208	basket // ZQкорзина
240	beech // ZQбук
257	beloved // dear, darling
264	benefit // profit, gain (n.)
281	bird's foot // bird&#39;s foot
318	blueberry // European blueberry // great bilberry (Vaccinium uliginosum)
346	bowel // bowels, intestine
348	box, container // &lt;container&gt;
351	braid (of hair) // plait, braid
364	breast // female breast
366	breathing // to breathe
371	bridegroom // engaged, bridegroom
374	brief // not long // short, brief
384	brother-in-law // sister&#39;s husband
394	bud (of a flower) // bud (on a twig)
408	burrow (of animal) // lair
411	busy // to be busy, to act
414	butt of a log // stump (of tree)
425	capricorn beetle // &lt;capricorn beetle&gt;
426	clothes // &lt;clothes&gt;
427	cold steel // &lt;cold steel&gt;
428	colour // &lt;colour&gt;
430	crockery // &lt;crockery&gt;
431	curse // &lt;curse&gt;
453	capsule (pharmacy) // pill, tablet
468	cat's-foot (Antennaria) // cat&#39;s-foot (Antennaria)
479	cause, reason // to cause
480	cautious // to beware, be careful
519	child // children
520	child (son or daughter) // offspring
526	children's food // children&#39;s food
556	clavicle // collarbone
558	claw (of a crustacean) // pincer (of a lobster, crab)
622	common reed // reed
630	compass (mariners' directional tool) // compass (mariners&#39; directional tool)
648	content // contents
667	correct (adj.) // right
673	coup d'état, revolution // coup d&#39;état, revolution
721	cup // drinking vessel
730	custom, habit // habit
733	disease // &lt;disease&gt;
734	dish // &lt;dish&gt;
748	daughter's husband // daughter&#39;s husband // son-in-law
762	deception // trick, deceit
764	deep // profound
768	definite, certain // sure, confident
776	deprived of, lacking // to lack
792	different // dissimilar, distinct // to differ, to make distinction
794	digit (mathematics) // &lt;numeral&gt; // number
843	driver's seat // driver&#39;s seat
866	dyer's greenweed (Genista tinctoria) // dyer&#39;s greenweed (Genista tinctoria)
868	ethnic group // &lt;ethnic group&gt;
869	exclamation of surprise, pain or sorrow // &lt;exclamation of surprise, pain or sorrow&gt;
870	expletive // &lt;expletive&gt;
871	expression of anger // &lt;expression of anger&gt;
884	East // east
904	elder brother's wife // elder brother&#39;s wife
906	electric lamp // lamp
925	enough // to suffice, be enough
969	experienced // to have experience
983	female animal // &lt;female animal&gt;
984	fish // &lt;fish&gt;
985	foot-wear // &lt;foot-wear&gt;
986	foreign country // &lt;foreign country&gt;
987	foreigner // &lt;foreigner&gt; // stranger, foreign
988	fruit // &lt;fruit&gt;
989	furniture // &lt;furniture&gt;
999	false, wrong // wrong
1020	 father's brother // father&#39;s brother // uncle (father&#39;s brother)
1025	 feast // party, soiree
1073	 firm, solid // solid, entire, continuous
1179	 furious // to be angry
1185	 game // &lt;game&gt;
1186	 God // &lt;God&gt; // god
1187	 going, walking // &lt;going, walking&gt; // to walk, to go
1206	 german (brother or sister) // sibling
1214	 glad // happy
1240	 good // good (ethically)
1252	 grandfather // old man/grandfather
1263	 grave // tomb
1284	 guilty // to be guilty
1289	 hat // &lt;hat&gt;
1290	 headgear // &lt;headgear&gt;
1291	 high rank officail in the Catholic Church // &lt;high rank officail in the Catholic Church&gt;
1292	 honorific title // &lt;honorific title&gt;
1293	 horned animal // &lt;horned animal&gt;
1312	 hard // hard, solid
1324	 hawk (Accipiter) // kite
1445	 hungry // to be hungry // to feel hunger
1451	 husband's brother // husband&#39;s brother
1452	 husband's elder brother // husband&#39;s elder brother
1453	 husband's father // husband&#39;s father
1458	 insect // &lt;insect&gt;
1476	 impolite // rude, impolite
1515	 insane // mad
1541	 it's a pity // it&#39;s a pity
1602	 lady's slipper (Cypripedium) // lady&#39;s slipper (Cypripedium)
1720	 love // to love
1734	 male animal // &lt;male animal&gt; // male (animal)
1735	 metal // &lt;metal&gt;
1736	 military rank // &lt;military rank&gt;
1737	 money // &lt;money&gt;
1738	 mushroom, fungus // &lt;mushroom, fungus&gt; // mushroom
1739	 musician // &lt;musician&gt;
1742	 magic // witchcraft, sorcery
1762	 many, much // numerous // several
1822	 metal spike // nail (metal spike)
1899	 mother of one's husband // mother of one&#39;s husband
1918	 muddy, turbid (of water) // turbid
1934	 muzzle // snout
1936	 name of person // &lt;name of person&gt; // name
1937	 negative evaluation // &lt;negative evaluation&gt;
1938	 noble rank, title // &lt;noble rank, title&gt;
1939	 noise // &lt;noise&gt;
1952	 narrow, close // near
2025	 office // &lt;office&gt;
2026	 orthopteran // &lt;orthopteran&gt;
2027	 oak // ZQдуб
2056	 omen // sign, omen
2062	 one's own // one&#39;s own
2075	 order // proper arrangement, order // to order, command
2093	 owner // owner (female)
2097	 person of a different faith // &lt;person of a different faith&gt;
2098	 place name // &lt;place name&gt;
2099	 plant (biol.) // &lt;plant (biol.)&gt; // vegetation
2100	 positive evaluation // &lt;positive evaluation&gt;
2101	 priest // &lt;priest&gt; // priest (Christianity)
2102	 profession // &lt;profession&gt;
2204	 pine-tree // ZQсосна
2223	 planting (in ground) // to plant
2235	 ploughing // to plough
2276	 precipitous // steep
2285	 priest's headgear // priest&#39;s headgear
2286	 priest's wife // priest&#39;s wife
2314	 punishment // sentence (by a court)
2338	 ready meal // &lt;ready meal&gt;
2339	 religious festival // &lt;religious festival&gt;
2340	 rural foot-wear // &lt;rural foot-wear&gt;
2398	 revenge // to revenge
2465	 salmon // &lt;salmon&gt;
2466	 small artifact // &lt;small artifact&gt;
2467	 small insect // &lt;small insect&gt;
2468	 sturgeon // &lt;sturgeon&gt;
2469	 swimming bird // &lt;swimming bird&gt;
2475	 sacrifice // to sacrifice (relig.)
2491	 Saint-John's-wort (Hypericum) // Saint-John&#39;s-wort (Hypericum)
2519	 scanty, not numerous // scanty, scarce
2546	 secret // secret; covert
2597	 shepherd's pipe (musical instrument) // shepherd&#39;s pipe (musical instrument)
2603	 ship's bells // ship&#39;s bells
2609	 shoes' soles // shoes&#39; soles
2634	 sick, ill // to be ill, sick // to feel sick
2675	 slaughter // to slaughter (cattle)
2677	 sleeping // to sleep
2686	 slug // snail
2692	 smart // wit, smart
2741	 source (of a river) // spring, fountain
2777	 splinter (wood fragment) // thorn
2877	 stupid // to be stupid
2890	 suffering // to suffer
2896	 summer solstice, St John's Day // summer solstice, St John&#39;s Day
2938	 term of insult // &lt;term of insult&gt;
2939	 thorny plant // &lt;thorny plant&gt;
2940	 to treat with a sharp instrument // &lt;to treat with a sharp instrument&gt;
2941	 tree // &lt;tree&gt;
2954	 tailor's thimble // tailor&#39;s thimble
3073	 to argue, have a dispute // to quarrel
3082	 to attain, achieve // to get, obtain
3084	 to awaken, wake up // to wake up (intr.)
3091	 to be afraid // to fear
3113	 to be glad, happy // to rejoice
3121	 to be in vertical position, to stand // to stand
3168	 to beg one's pardon // to beg one&#39;s pardon
3169	 to begin // to begin (tr.)
3175	 to believe in // to trust / to believe in
3177	 to bend (intr.) // to bend, bow (intr.) // to bow down
3187	 to bite one's finger // to bite one&#39;s finger
3188	 to bite one's lip // to bite one&#39;s lip
3196	 to blow one's nose // to blow one&#39;s nose
3200	 to bother, pester // to harass // to haunt, bother
3206	 to break (intr.) // to burst
3231	 to calculate, count // to count // to reckon
3257	 to change direction of one's motion // to change direction of one&#39;s motion // to turn round
3259	 to charm, to delight // to please
3272	 to close one's eyes // to close one&#39;s eyes // to shut one&#39;s eyes
3273	 to clothe // to put on
3284	 to conceal, make secret // to hide (tr.)
3296	 to cook (prepare food) // to cook, boil
3324	 to cut one's hair // to cut one&#39;s hair
3349	 to desire // will
3378	 to dive // to plunge
3390	 to dream (of) // to dream while sleeping
3434	 to extinguish // to put out
3438	 to fail // to fail (of engine)
3445	 to fall to one's lot // to fall to one&#39;s lot
3468	 to fit, suit // to suit (of clothes)
3480	 to fly // to fly away
3505	 to gather, collect // to put together
3538	 to go away // to leave
3555	 to grasp, seize // to seize
3560	 to grind (with the pestle) // to mill
3594	 to have, possess // ZQto have
3635	 to insult // to swear, curse
3646	 to join together (tr.) // to unite
3648	 to joke // to mock
3681	 to let go // to set free
3709	 to lose one's mind // to lose one&#39;s mind
3710	 to lose one's way // to lose one&#39;s way
3714	 to make // to make, create
3765	 to move away // to move, change residence
3772	 to mow grass // to reap
3780	 to not believe one's eyes // to not believe one&#39;s eyes
3788	 to open one's eyes wide // to open one&#39;s eyes wide
3789	 to open one's mouth // to open one&#39;s mouth // ZQto open one&#39;s mouth
3828	 to poke, thrust // to thrust (into)
3843	 to prick // to stab // to stab with a spear
3855	 to pull up (a plant) // to weed
3883	 to recall, recollect // to remember // to remember / recall
3893	 to regret // to repent
3916	 to restrict one's rights // to restrict one&#39;s rights
3953	 to scratch (when itches) // to scratch (with nails)
3977	 to sharpen // to whet
3982	 to shine // to shine, glitter
3990	 to shrink // to shrink (of textile)
4005	 to slap one's thighs // to slap one&#39;s thighs
4008	 to sleep one's fill // to sleep one&#39;s fill
4010	 to slide, slip // to slip
4038	 to spread one's arms // to spread one&#39;s arms
4048	 to stamp one's foot // to stamp one&#39;s foot
4088	 to surpass // to surpass, exceed
4111	 to take off (tr.) // to undress (intr.) // to undress (tr.)
4124	 to tear apart // to tear, rend
4128	 to tell a person's fortune // to tell a person&#39;s fortune
4134	 to throw // to toss
4197	 to water (plants) // to water, to give water
4213	 to whisper // whisper
4320	 uncle (father's sister's husband) // uncle (father&#39;s sister&#39;s husband)
4321	 uncle (mother's brother) // uncle (mother&#39;s brother)
4322	 uncle (mother's sister's husband) // uncle (mother&#39;s sister&#39;s husband)
4366	 vessel // &lt;vessel&gt;
4410	 weapon // &lt;weapon&gt;
4411	 woman // &lt;woman&gt;
4412	 wooden object // &lt;wooden object&gt;
4483	 wife's brother // wife&#39;s brother
4484	 wife's father // wife&#39;s father
4494	 willow // ZQива
4538	 young animal // &lt;young animal&gt;
4539	 young plant // &lt;young plant&gt;
4572	 to purr (about cat) // ZQto purr (about cat)
4573	 zeal // ZQzeal
4576	 засада // ZQзасада
